"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,108,"IRQ","Iraq",1,"Al-Anbar",1,"Abu Ghraib",NA,NA,NA,NA
2,108,"IRQ","Iraq",1,"Al-Anbar",2,"Al Fallujah",NA,NA,NA,NA
3,108,"IRQ","Iraq",1,"Al-Anbar",3,"Al Haditha",NA,NA,NA,NA
4,108,"IRQ","Iraq",1,"Al-Anbar",4,"Al Qa'im",NA,NA,NA,NA
5,108,"IRQ","Iraq",1,"Al-Anbar",5,"Anah",NA,NA,NA,NA
6,108,"IRQ","Iraq",1,"Al-Anbar",6,"Ar Ramadi",NA,NA,NA,NA
7,108,"IRQ","Iraq",1,"Al-Anbar",7,"Ar Rutbah",NA,NA,NA,NA
8,108,"IRQ","Iraq",1,"Al-Anbar",8,"Hit",NA,NA,NA,NA
9,108,"IRQ","Iraq",1,"Al-Anbar",9,"Kadhimiya",NA,NA,NA,NA
10,108,"IRQ","Iraq",2,"Al-Basrah",10,"Abu al Khasib",NA,NA,NA,NA
11,108,"IRQ","Iraq",2,"Al-Basrah",11,"Al Faw",NA,NA,NA,NA
12,108,"IRQ","Iraq",2,"Al-Basrah",12,"Al Madiana",NA,NA,NA,NA
13,108,"IRQ","Iraq",2,"Al-Basrah",13,"Al Qurnah",NA,NA,NA,NA
14,108,"IRQ","Iraq",2,"Al-Basrah",14,"Al Zubair",NA,NA,NA,NA
15,108,"IRQ","Iraq",2,"Al-Basrah",15,"Basrah",NA,NA,NA,NA
16,108,"IRQ","Iraq",2,"Al-Basrah",16,"Shatt Al Arab",NA,NA,NA,NA
17,108,"IRQ","Iraq",3,"Al-Muthannia",17,"Al Khithir",NA,NA,NA,NA
18,108,"IRQ","Iraq",3,"Al-Muthannia",18,"As Salman",NA,NA,NA,NA
19,108,"IRQ","Iraq",3,"Al-Muthannia",19,"As Samawah",NA,NA,NA,NA
20,108,"IRQ","Iraq",3,"Al-Muthannia",20,"Rumaitha",NA,NA,NA,NA
21,108,"IRQ","Iraq",4,"Al-Qadisiyah",21,"Ad Diwaniyah",NA,NA,NA,NA
22,108,"IRQ","Iraq",4,"Al-Qadisiyah",22,"Afak",NA,NA,NA,NA
23,108,"IRQ","Iraq",4,"Al-Qadisiyah",23,"Al Hamza",NA,NA,NA,NA
24,108,"IRQ","Iraq",4,"Al-Qadisiyah",24,"Shamiya",NA,NA,NA,NA
25,108,"IRQ","Iraq",5,"An-Najaf",25,"Al Kufa",NA,NA,NA,NA
26,108,"IRQ","Iraq",5,"An-Najaf",26,"Al Manathera",NA,NA,NA,NA
27,108,"IRQ","Iraq",5,"An-Najaf",27,"Najaf",NA,NA,NA,NA
28,108,"IRQ","Iraq",6,"Arbil",28,"Arbil",NA,NA,NA,NA
29,108,"IRQ","Iraq",6,"Arbil",29,"Choman",NA,NA,NA,NA
30,108,"IRQ","Iraq",6,"Arbil",30,"Koisnjaq",NA,NA,NA,NA
31,108,"IRQ","Iraq",6,"Arbil",31,"Makhmur",NA,NA,NA,NA
32,108,"IRQ","Iraq",6,"Arbil",32,"Mergasur",NA,NA,NA,NA
33,108,"IRQ","Iraq",6,"Arbil",33,"Shaqlawa",NA,NA,NA,NA
34,108,"IRQ","Iraq",6,"Arbil",34,"Soran",NA,NA,NA,NA
35,108,"IRQ","Iraq",7,"As-Sulaymaniyah",35,"Chamchamal",NA,NA,NA,NA
36,108,"IRQ","Iraq",7,"As-Sulaymaniyah",36,"Darbandokeh",NA,NA,NA,NA
37,108,"IRQ","Iraq",7,"As-Sulaymaniyah",37,"Dukan",NA,NA,NA,NA
38,108,"IRQ","Iraq",7,"As-Sulaymaniyah",38,"Halabja",NA,NA,NA,NA
39,108,"IRQ","Iraq",7,"As-Sulaymaniyah",39,"Kalar",NA,NA,NA,NA
40,108,"IRQ","Iraq",7,"As-Sulaymaniyah",40,"Penjwin",NA,NA,NA,NA
41,108,"IRQ","Iraq",7,"As-Sulaymaniyah",41,"Pshdar",NA,NA,NA,NA
42,108,"IRQ","Iraq",7,"As-Sulaymaniyah",42,"Rania",NA,NA,NA,NA
43,108,"IRQ","Iraq",7,"As-Sulaymaniyah",43,"Sharbazher",NA,NA,NA,NA
44,108,"IRQ","Iraq",7,"As-Sulaymaniyah",44,"Sulaymaniya",NA,NA,NA,NA
