start,end,event_type,sub_event_type,actor1,actor2,location,latitude,longitude,timestamp
5-Sep-20,5-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Suq Al-Shoyokh,30.8909,46.4543,1599528934
5-Sep-20,5-Sep-20,Strategic developments,Change to group/activity,Military Forces of Iraq (2020-),,Khanaqin,34.3482,45.3906,1599528935
5-Sep-20,5-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Kut,32.5056,45.8247,1599528935
5-Sep-20,5-Sep-20,Battles,Armed clash,Police Forces of Iraq (2020-) Iraqi National Intelligence Service,Unidentified Armed Group (Iraq),Rifai,31.7213,46.1102,1599528935
5-Sep-20,5-Sep-20,Strategic developments,Looting/property destruction,Military Forces of Iraq (2020-),Islamic State (Iraq),Rashad,35.1343,44.0876,1599528935
5-Sep-20,5-Sep-20,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),Civilians (Iraq),Baghdad - Kadhimiya,33.3805,44.3462,1599528934
5-Sep-20,5-Sep-20,Battles,Armed clash,Military Forces of Iraq (2020-),Islamic State (Iraq),Qaryat Al Qalaa,34.3671,45.2447,1599528934
4-Sep-20,4-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Mergasur,36.8431,44.3009,1599528935
4-Sep-20,4-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),Islamic State (Iraq),Samarra,34.1959,43.8857,1599528934
4-Sep-20,4-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),Islamic State (Iraq),Hamrin Mountains - Sala al-Din,34.6248,44.4107,1599528934
4-Sep-20,4-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),Islamic State (Iraq),Shaykh Bawa,34.3992,45.1427,1599528934
4-Sep-20,4-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,Wadi Khakurik,36.9599,44.6039,1599528935
4-Sep-20,4-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Shatra,31.4091,46.1727,1599528934
4-Sep-20,4-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Basrah,30.533,47.7975,1599528934
4-Sep-20,4-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Diwaniya,31.9929,44.9255,1599528934
4-Sep-20,4-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Kut,32.5056,45.8247,1599528935
4-Sep-20,4-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Al-Faw,29.9742,48.4731,1599528935
4-Sep-20,4-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Nahiyat Al Shafiiyeh,31.9489,44.844,1599528935
4-Sep-20,4-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Kut,32.5056,45.8247,1599528935
4-Sep-20,4-Sep-20,Strategic developments,Looting/property destruction,Military Forces of Iraq (2020-),Islamic State (Iraq),Ar Rutba,33.0373,40.2826,1599528935
4-Sep-20,4-Sep-20,Battles,Armed clash,Qaryat Al Qalaa Communal Militia (Iraq),Islamic State (Iraq),Qaryat Al Qalaa,34.3671,45.2447,1599528935
4-Sep-20,4-Sep-20,Battles,Armed clash,Unidentified Tribal Militia (Iraq),Unidentified Tribal Militia (Iraq),Amara,31.8356,47.1448,1599528935
4-Sep-20,4-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Wadi Khakurik,36.9599,44.6039,1599528934
4-Sep-20,4-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),Islamic State (Iraq),Jalawla,34.273,45.1662,1599528935
3-Sep-20,3-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Shaca,37.1138,43.8672,1599528935
3-Sep-20,3-Sep-20,Violence against civilians,Attack,Islamic State (Iraq),Civilians (Iraq),Shirqat,35.4973,43.2365,1599528935
3-Sep-20,3-Sep-20,Battles,Armed clash,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Khantur Mountain,37.2648,42.8583,1599528935
3-Sep-20,3-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Kut,32.5056,45.8247,1599528935
3-Sep-20,3-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Nassriya,31.058,46.2573,1599528935
3-Sep-20,3-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Basrah,30.533,47.7975,1599528935
3-Sep-20,3-Sep-20,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),Civilians (Iraq),Nassriya,31.058,46.2573,1599528935
3-Sep-20,3-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Nassriya,31.058,46.2573,1599528935
3-Sep-20,3-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Nassriya,31.058,46.2573,1599528935
3-Sep-20,3-Sep-20,Strategic developments,Disrupted weapons use,Military Forces of Iraq (2020-),Islamic State (Iraq),Mosul - Old City,36.3455,43.1278,1599528935
3-Sep-20,3-Sep-20,Strategic developments,Other,Civilians (Iraq),,Qaryat Al Hetaween,34.2394,44.3664,1599528935
3-Sep-20,3-Sep-20,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),Military Forces of Iraq (2020-),Erbil,36.1926,44.0106,1599528935
3-Sep-20,3-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Amadiya,37.0921,43.4877,1599528937
3-Sep-20,3-Sep-20,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Iraq),Private Security Forces (United Kingdom),Baghdad - Karkh,33.3164,44.4039,1599528934
3-Sep-20,3-Sep-20,Battles,Armed clash,Military Forces of Iraq (2020-),Islamic State (Iraq),Tuz Khurma,34.8833,44.6333,1599528934
3-Sep-20,3-Sep-20,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),Civilians (Iraq),Al Mualimeen,36.3675,42.4309,1599528935
3-Sep-20,3-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Wadi Khakurik,36.9599,44.6039,1599528935
2-Sep-20,2-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Baghdad - Karkh,33.3164,44.4039,1599528935
2-Sep-20,2-Sep-20,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),Civilians (Iraq),Hilla,32.4637,44.4196,1599528935
2-Sep-20,2-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Kut,32.5056,45.8247,1599528935
2-Sep-20,2-Sep-20,Strategic developments,Looting/property destruction,Military Forces of Iraq (2020-),Islamic State (Iraq),Daquq,35.1392,44.4491,1599528934
2-Sep-20,2-Sep-20,Battles,Armed clash,Police Forces of Iraq (2020-),Islamic State (Iraq),Makr Al-Nuam,31.9439,40.452,1599528934
2-Sep-20,2-Sep-20,Strategic developments,Disrupted weapons use,Military Forces of Turkey (2016-) Gendarmerie,PKK: Kurdistan Workers Party,Wadi Khakurik,36.9599,44.6039,1599528934
2-Sep-20,2-Sep-20,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),Civilians (Iraq),Rabia,36.8047,42.0889,1599528935
2-Sep-20,2-Sep-20,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Mergasur,36.8431,44.3009,1599528935
2-Sep-20,2-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Baquba,33.7466,44.6437,1599528934
1-Sep-20,1-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Baghdad - Karkh,33.3164,44.4039,1599528934
1-Sep-20,1-Sep-20,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Amadiya,37.0921,43.4877,1599528935
1-Sep-20,1-Sep-20,Protests,Peaceful protest,Protesters (Iraq),,Sulaymaniyah,35.565,45.4329,1599528935
1-Sep-20,1-Sep-20,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),Civilians (Iraq),Tikrit,34.6158,43.6786,1599528935
1-Sep-20,1-Sep-20,Battles,Armed clash,Unidentified Armed Group (Iraq),Military Forces of Iraq (2020-),Al Qaim,34.3669,41.1389,1599528934
