Area,city_ENG,pop_2019,active_case,confirmed_in_last_7_days,Verified rate added relative to active patients one week ago,confirmed_case_per_100000_person,"Number of tests per 1,000,000 people in 7 days",positive_test rate_last_week, lat , lon 
ירושלים,Jerusalem,"931,272",2601,"1,279",97%,279,"16,484",8%,31.769,35.216
תל אביב - יפו,Tel Aviv-Jaffa,"456,409",661,292,79%,145,"13,308",5%,32.05,34.752
חיפה,Haifa,"273,425",440,238,118%,161,"16,549",5%,32.818,34.989
פתח תקווה,Petah Tiqwa,"245,533",410,194,90%,167,"14,291",6%,32.087,34.887
ראשון לציון,Rishon Leziyyon,"242,800",268,140,109%,110,"11,895",5%,31.971,34.789
אשדוד,Ashdod,"225,707",776,416,116%,344,"24,682",8%,31.792,34.65
נתניה,Netanya,"216,897",452,202,81%,208,"15,832",6%,32.333,34.86
בני ברק,Bené Beraq,"200,806",872,491,129%,434,"16,812",15%,32.081,34.834
באר שבע,Beersheba,"197,168",311,134,76%,158,"18,117",4%,31.252,34.791
חולון,Holon,"186,840",288,142,97%,154,"12,942",6%,32.01,34.779
רמת גן,Ramat Gan,"147,072",195,81,71%,133,"13,714",4%,32.082,34.811
אשקלון,Ashqelon,"141,817",263,149,131%,185,"13,567",8%,31.669,34.571
רחובות,Rehovot,"139,246",168,77,85%,121,"11,311",5%,31.895,34.809
בת ים,Bat Yam,"129,868",212,104,96%,163,"15,801",5%,32.024,34.752
בית שמש,Bet Shemesh,"126,846",287,199,226%,226,"11,857",13%,31.731,34.993
כפר סבא,Kfar Saba,"97,982",104,55,112%,106,"19,085",3%,32.175,34.907
חדרה,Hadera,"95,464",174,78,81%,182,"19,882",4%,32.442,34.904
הרצליה,Herzliyya,"92,766",98,58,145%,106,"17,334",4%,32.166,34.825
מודיעין-מכבים-רעות,Modi'in-Maccabim-Re'ut,"87,581",128,69,117%,146,"15,631",5%,31.908,35.008
נצרת,Nazareth,"78,529",242,106,78%,308,"10,518",13%,32.699,35.305
מודיעין עילית,Modiin Ilit,"76,971",453,250,123%,589,"31,285",10%,31.932,35.044
לוד,Lod,"76,289",173,71,70%,227,"12,374",8%,31.947,34.89
רמלה,Ramla,"75,729",239,103,76%,316,"14,010",10%,31.929,34.866
רעננה,Ra'anana,"75,191",104,49,89%,138,"15,560",4%,32.184,34.874
רהט,Rahat,"66,917",361,160,80%,539,"28,274",9%,31.395,34.757
ביתר עילית,Beitar Illit,"61,648",191,106,125%,310,"14,502",12%,31.693,35.118
הוד השרון,Hod Hasharon,"59,938",69,41,146%,115,"12,096",6%,32.159,34.893
נהריה,Nahariya,"59,794",76,46,153%,127,"14,985",5%,33.011,35.095
ראש העין,Rosh Ha‘Ayin,"59,420",154,52,51%,259,"15,096",6%,32.096,34.957
קרית אתא,Kiryat Ata,"57,679",70,31,79%,121,"15,534",4%,32.809,35.12
קרית גת,Qiryat Gat,"57,490",125,46,58%,217,"15,481",5%,31.61,34.764
אילת,Eilat,"56,564",42,30,250%,74,"8,274",6%,29.558,34.948
אום אל-פחם,Umm el Fahm,"56,190",334,184,123%,594,"25,716",13%,32.517,35.153
גבעתיים,Giv‘atayim,"55,274",43,23,115%,78,"11,108",4%,32.072,34.813
עפולה,Afula,"53,455",87,39,81%,163,"14,030",5%,32.609,35.289
עכו,Acre,"51,209",121,65,116%,236,"18,727",7%,32.928,35.076
אלעד,Elad,"47,548",180,124,221%,379,"15,563",17%,32.05,34.954
כרמיאל,Karmi’el,"46,503",70,35,100%,151,"15,203",5%,32.917,35.305
יבנה,Yavne,"46,413",76,38,100%,164,"9,265",9%,31.881,34.738
נס ציונה,Ness Ziona,"45,831",42,19,83%,92,"9,688",4%,31.929,34.799
רמת השרון,Ramat Hasharon,"45,339",40,21,111%,88,"16,696",3%,32.146,34.839
טבריה,Tiberias,"44,940",186,102,121%,414,"23,342",10%,32.792,35.531
