component,fact,position_in_world_ranking
population,"38,872,655",36
population growth rate (%),2.16,37
birth rate (per 1000 populations),26,47
death rate (per 1000 populations),3.9,215
infant mortality rate (per 1000 live births),19.5,80
life expectancy (years),72.6,152
access to improved drinking water source (%),97.9,
physicians density (per 1000 populations),0.84,
hospital bed density (per 1000 populations),1.3,
access to improved sanitation facility (%),95.2,
literacy (% of population),50.1,
unemployment (ages 15-24) (%),26,
internet users (%),49,38
electricity access (%),100,
